	20160921	7.0648
	20160922	7.0359
	20160923	7.0049
	20160924	6.9719
	20160925	6.9368
	20160926	6.8996
	20160927	6.8604
	20160928	6.8191
	20160929	6.7758
	20160930	6.7305
	20161001	6.6832
	20161002	6.6339
	20161003	6.5825
	20161004	6.5292
	20161005	6.4740
	20161006	6.4168
	20161007	6.3576
	20161008	6.2966
	20161009	6.2336
	20161010	6.1687
	20161011	6.1020
	20161012	6.0334
	20161013	5.9630
	20161014	5.8908
	20161015	5.8167
	20161016	5.7409
	20161017	5.6633
	20161018	5.5840
	20161019	5.5029
	20161020	5.4202
	20161021	5.3358
	20161022	5.2497
	20161023	5.1621
	20161024	5.0728
	20161025	4.9819
	20161026	4.8895
	20161027	4.7956
	20161028	4.7002
	20161029	4.6033
	20161030	4.5049
	20161031	4.4052
	20161101	4.3041
	20161102	4.2016
	20161103	4.0978
	20161104	3.9927
	20161105	3.8863
	20161106	3.7787
	20161107	3.6699
	20161108	3.5599
	20161109	3.4488
	20161110	3.3366
	20161111	3.2233
	20161112	3.1090
	20161113	2.9937
	20161114	2.8775
	20161115	2.7602
	20161116	2.6421
	20161117	2.5232
	20161118	2.4034
	20161119	2.2828
	20161120	2.1615
	20161121	2.0395
	20161122	1.9168
	20161123	1.7935
	20161124	1.6695
	20161125	1.5451
	20161126	1.4200
	20161127	1.2945
	20161128	1.1686
	20161129	1.0423
	20161130	0.9156
	20161201	0.7885
	20161202	0.6612
	20161203	0.5337
	20161204	0.4059
	20161205	0.2780
	20161206	0.1500
	20161207	0.0218
	20161208	-0.1063
	20161209	-0.2345
	20161210	-0.3626
	20161211	-0.4907
	20161212	-0.6186
	20161213	-0.7463
	20161214	-0.8739
	20161215	-1.0012
	20161216	-1.1282
	20161217	-1.2549
	20161218	-1.3812
	20161219	-1.5072
	20161220	-1.6326
	20161221	-1.7576
	20161222	-1.8821
	20161223	-2.0059
	20161224	-2.1292
	20161225	-2.2518
	20161226	-2.3737
	20161227	-2.4949
	20161228	-2.6154
	20161229	-2.7350
	20161230	-2.8537
	20161231  -2.9716
